	RPL13a1	RPL13a2	Bactine2	BMP4	Crabp2a	Cyp26a1	DeltaC	DeltaD	FGF8a	Her7	Hoxa1a	Hoxb1b	Hoxd4a	Hoxa5a	Notch1a	Rarab
PS1	696170350.710732	700978631.376716	698222941.425358	692101162.104532	697366226.159806	695148574.26644	699425885.208272	694129792.770202	695488832.990996	697195135.32905	696511610.686571	696511610.686571	696511610.686571	696511610.686571	697537400.982133	697880002.84902
PC1	2784681402.84293	2803914525.50687	9775121179.95502	13842023.2420906	808944822.345375	709051545.751769	9791962392.91581	138825958.55404	6954888329.90996	752970746.155374	1393023221.37314	6965116106.86571	1393023221.37314	9751162549.61199	139507480.196427	6978800028.4902
